scope,case_id,class_label,mode,runs,samples_per_run,latency_median_ms,latency_mean_ms,latency_stddev_ms,latency_min_ms,latency_max_ms,samples_per_s_median,samples_per_s_mean,thread_cycles_median,cycles_per_sample_median,effective_clock_mhz_median,current_mhz_min,current_mhz_max,output_exact_count
case,CHF_chfdb_chf06_chunk06,CHF,end_to_end,10,1800000,1983.654700000,1986.747800000,51.376132536,1899.970500000,2070.843800000,907421.897,906550.116,4744481118.500,2635.822844,2391.582,2401,2401,10
case,CHF_chfdb_chf06_chunk19,CHF,kernel,10,1800000,1766.851500000,1750.119350000,51.813287362,1683.571400000,1822.052900000,1018768.225,1029316.353,4222181660.000,2345.656477,2391.464,2401,2401,10
case,CHF_chfdb_chf06_chunk19,CHF,end_to_end,10,1800000,2002.225600000,2001.098810000,69.697772833,1908.925200000,2111.368200000,899009.220,900482.036,4786059018.500,2658.921677,2392.562,2401,2401,10
case,CHF_chfdb_chf06_chunk32,CHF,kernel,10,1800000,1785.942000000,1802.801180000,65.987625129,1731.811300000,1908.316500000,1008042.537,999633.424,4273263184.500,2374.035102,2392.604,2401,2401,10
case,CHF_chfdb_chf06_chunk32,CHF,end_to_end,10,1800000,1967.368850000,1990.452920000,64.986337145,1908.185300000,2128.660200000,914928.146,905160.963,4707504088.500,2615.280050,2392.746,2401,2401,10
case,CHF_chfdb_chf07_chunk09,CHF,kernel,10,1800000,1834.506400000,1837.030740000,68.264822988,1707.970700000,1959.340900000,981334.110,981068.054,4389483543.500,2438.601969,2392.635,2401,2401,10
case,CHF_chfdb_chf07_chunk09,CHF,end_to_end,10,1800000,2025.330600000,2029.319460000,64.766991893,1942.296300000,2156.142400000,888744.463,887799.428,4843289957.000,2690.716643,2391.302,2401,2401,10
case,CHF_chfdb_chf07_chunk29,CHF,kernel,10,1800000,1770.886450000,1776.799070000,63.303487887,1683.741900000,1894.643500000,1016462.924,1014202.981,4236578373.500,2353.654652,2392.510,2401,2401,10
case,CHF_chfdb_chf07_chunk29,CHF,end_to_end,10,1800000,2025.890000000,2036.428080000,47.914963972,1978.908400000,2154.997300000,888500.012,884327.308,4842005156.500,2690.002865,2391.359,2401,2401,10
case,CHF_chfdb_chf09_chunk09,CHF,kernel,10,1800000,1764.996450000,1765.228810000,52.925753681,1686.429100000,1876.749600000,1019837.637,1020509.616,4220844054.500,2344.913363,2391.418,2401,2401,10
case,CHF_chfdb_chf09_chunk09,CHF,end_to_end,10,1800000,1938.820100000,1952.712530000,39.075099079,1904.342400000,2007.242200000,928403.802,922125.148,4638122385.000,2576.734659,2392.188,2401,2401,10
case,CHF_chfdb_chf09_chunk29,CHF,kernel,10,1800000,1797.558100000,1811.628980000,50.227221731,1737.658700000,1886.101200000,1001365.253,994264.089,4300861949.500,2389.367750,2392.391,2401,2401,10
case,CHF_chfdb_chf09_chunk29,CHF,end_to_end,10,1800000,2016.808650000,2019.862550000,55.935171180,1926.105800000,2110.936600000,892537.650,891765.210,4825708598.500,2680.949222,2392.671,2401,2401,10
case,CHF_chfdb_chf15_chunk03,CHF,kernel,10,1800000,1738.702200000,1765.136950000,66.766566430,1693.151900000,1866.837800000,1035296.340,1021044.042,4151599577.000,2306.444209,2389.798,2401,2401,10
case,CHF_chfdb_chf15_chunk03,CHF,end_to_end,10,1800000,2074.016000000,2067.838340000,59.208902881,1951.039800000,2141.955600000,867890.128,871127.634,4953593471.500,2751.996373,2390.162,2401,2401,10
case,CHF_chfdb_chf15_chunk09,CHF,kernel,10,1800000,1812.093950000,1809.529270000,40.981209037,1743.791600000,1872.856000000,993339.725,995194.290,4332378497.500,2406.876943,2388.086,2401,2401,10
case,CHF_chfdb_chf15_chunk09,CHF,end_to_end,10,1800000,2043.347300000,2048.529520000,71.438143251,1933.530000000,2184.913000000,880915.091,879635.090,4879599693.000,2710.888718,2389.918,2401,2401,10
case,NSR_nsrdb_16272_chunk03,NSR,kernel,10,1800000,1784.488150000,1785.721580000,74.862733766,1680.938600000,1924.996600000,1008706.093,1009574.926,4252942447.500,2362.745805,2390.138,2401,2401,10
case,NSR_nsrdb_16272_chunk03,NSR,end_to_end,10,1800000,2004.955050000,2004.575130000,90.631231594,1877.267500000,2135.010700000,897958.947,899595.668,4787684511.500,2659.824728,2390.480,2401,2401,10
case,NSR_nsrdb_16272_chunk10,NSR,kernel,10,1800000,1823.597950000,1841.936040000,71.113793451,1760.590900000,1980.245900000,987060.775,978505.296,4355531904.500,2419.739946,2390.143,2401,2401,10
case,NSR_nsrdb_16272_chunk10,NSR,end_to_end,10,1800000,2033.858150000,2031.971780000,41.186133232,1975.140100000,2103.303400000,885023.607,886165.743,4853504006.000,2696.391115,2390.178,2401,2401,10
case,NSR_nsrdb_16483_chunk10,NSR,kernel,10,1800000,1853.754450000,1858.340440000,72.321566899,1740.049000000,1986.270900000,971174.526,969925.719,4425881096.000,2458.822831,2389.860,2401,2401,10
case,NSR_nsrdb_16483_chunk10,NSR,end_to_end,10,1800000,2038.189850000,2043.658020000,53.255973558,1971.168100000,2140.715600000,883218.968,881306.893,4871524829.500,2706.402683,2388.276,2401,2401,10
