blob_sha,size_bytes,path
2870a0d3b7cbda98ef52154e3064b5b5bd61a62e,4541613,components/afe_xmodel/fpga/reports/board_smoke/nexys_a7_model_s_smoke_impl.dcp
dbe0a6d784684a3bafb0654b36098bc68f734751,4249076,components/matlab_prevalidation/matlab_afe_validation/results_dataset/notch_dense_sweep.csv
1c2492133eaba021107bba4339ce479006ee6dcf,3825915,components/digital_accelerator/results/board_replay/microblaze_full_replay/snn_ecg_mb_full_replay.bit
f79f2f5a26a586ebd149c99fdd6b1108befdb732,1994490,components/digital_accelerator/results/board_replay/microblaze_full_replay/reports/system_timing_summary.rpt
3c523c2ef34e693ebb6a4ada7a4feef71e64f8c6,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/100.dat
6e3965e10642528de31b10ea669b06151629c238,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/101.dat
bb398fad39db07e6ad1bbaae05e2b7b8539676ee,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/102.dat
4d654666f51fb073497dd9c9318db2dbfc3da525,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/103.dat
585a840b0d07c6099ffe50614ccfc24ccffe76ae,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/104.dat
1a5cb33a4ce84ecdbe1b7d1796feed3446b0f196,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/105.dat
26d2a403b83711c70433892918af6f1ee8c8615b,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/106.dat
c12ec03745643ee5679c211cfc5b4dc1b6bee217,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/107.dat
863d957eea18b194731041f18dee66879b8e7f76,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/108.dat
630ccf5629fd966909914708ac1e6cd2ca2f38bd,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/109.dat
cceca87015539804d635ee102746eeac55a8550d,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/111.dat
749f4d91287e0dd0fc6777ba760fdd8bac4bb093,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/112.dat
093cbdbd95783d56100fbf46649ba7b99c51a04d,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/113.dat
d18392069fdb551681a3186beb5104d2a95a1b01,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/114.dat
6575480507706a34647ecf514b9980fcac89ea2a,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/115.dat
e8bf3e902b5640f08e1edb08b85fc77013432525,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/116.dat
88fdf2ebc6d101d44e55695c2ec13a0880b351e5,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/117.dat
3d49181a385c73e99158d6cfbfac8c743649e22d,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/118.dat
32a74b11b6e64fedf96aea8bd2bd76bcab04a82c,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/119.dat
5c541e8183ac4baa10a03d61aa152d7b41b8da76,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/121.dat
d2bb754de95a9b46e93cc736aab3bc8b981babfa,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/122.dat
eda10538a0a7d5283e432a89602718abb6adf3b4,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/123.dat
888a0f7d097c8b8d97d3209691f541001d9bdbd1,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/124.dat
f5f02df13f940350cac90290117806539de7a76d,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/200.dat
e91c08781b04b5ba5e840db4832d2c830148cb46,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/201.dat
9f3f975853d66ffe9b0160c2b677e2a4f984089a,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/202.dat
9a85e1d44796afe4a3c0b00abcb398240ee8c716,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/203.dat
2baad5317bdade987acd2dc19d67ade005b0018c,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/205.dat
5346dea50420360c57069f9f47cf10cc0fd6e88b,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/207.dat
03efd510116ed31dde54fb65b1670555415bdcd9,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/208.dat
9dfe30b0cf68db1a22712251cd14880c5caad1ae,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/209.dat
80ad2cc3fac7ed3b52519a8d5ac18e037932a2f7,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/210.dat
a6feda8f6531fe718b48eb7dac901fedaf9bc0b5,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/212.dat
66dc1b70dcdfc7ec374f02cb3a47089b73f348ed,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/213.dat
52181e40d060a3984c4058328a9e60501a00cbf7,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/214.dat
d485f987c4fd5b1dbda1c813e5c416fd4b27e29c,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/215.dat
226a85dcf6cef49a062420dae1b09eb87c640ae1,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/217.dat
6117a25c2f15bf4abe85904ac01984ecf93cb4ad,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/219.dat
6dba46cd67806ed6426f04ae6d1346a187ee87cd,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/220.dat
0fa90e5583949f2ad92f981f5f30bd2b75fa452f,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/221.dat
83325c361e62d66c55584a7c6a8cfa00fef83f33,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/222.dat
37890b479cbb2f7a6c6034bbf6f6edc8688434b5,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/223.dat
c53254e20a30d146f4dfcaa5e6309898ec857443,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/228.dat
e56e5659ff2fcacf2252c49b1c72c058e4fa4f9a,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/230.dat
12f70a4b12fc45113916a6ca903981208e857268,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/231.dat
149ec8ba321cceb24cf53d77fba7aa1d8e15c06a,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/232.dat
e28d6abf6e0661dcf70ccbdc599cba1369a5d149,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/233.dat
3446ec6a8ff07b1d7461497d1b26d85e4ffc4742,1950000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/234.dat
5ca95bdfc5d8521c79c3b8bc2e9541b42ed65177,1618855,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/CHF/input.csv
436b1a51031df69a9c420cc7a041aca282dee222,1598628,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/ARR/input.csv
e2a28bf8cdda25d409352c34e57bfe8fa2386d5a,1586150,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/AFF/input.csv
5883f87eb0211a6025597cacdc816ec8ba8dba1c,1519256,components/afe_xmodel/fpga/reports/synth/restore_model_s_synth.dcp
68fc1fb6924166f6ed2eb52e80c5d85ea28c9015,1505464,components/afe_xmodel/afe_input_dataset/afe_input_CHF.csv
4822d7950bf66e94bb184d2f778cdf933a8b7e4a,1475768,components/afe_xmodel/afe_input_dataset/afe_input_ARR.csv
09d9d39f7c7db7a87fa19d60731a2d13e73d99d7,1469063,components/afe_xmodel/afe_input_dataset/afe_input_AFF.csv
813082a946fd57289794ef896205f9479677be75,1451439,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/NSR/input.csv
f547d3f1ba1a5766854ce1e515e5e71e5e031e02,1379533,components/afe_xmodel/afe_input_dataset/afe_input_NSR.csv
e6013e2ffedef681f8eb1aca8718844b112d0e81,1352495,components/matlab_prevalidation/matlab_afe_validation/results_dataset/record100_NSR/matlab_afe_adc_output.csv
f9b0fb6d1f09430c5213a19f67e1ddf9f9713aee,990620,source_of_truth/artifact_manifest.csv
691cf0abe33dcc4c75cb8f395acb7a02f29f41ad,958510,components/afe_xmodel/algorithm/ECGCvdata.csv
