scope,grid_x,grid_y,placed_primitives,representative_tile
"accelerator_core",112,94,5,"CLBLL_R_X45Y109"
"accelerator_core",112,95,8,"CLBLL_R_X45Y108"
"accelerator_core",112,96,10,"CLBLL_R_X45Y107"
"accelerator_core",112,97,11,"CLBLL_R_X45Y106"
"accelerator_core",112,98,12,"CLBLL_R_X45Y105"
"accelerator_core",112,99,11,"CLBLL_R_X45Y104"
"accelerator_core",114,100,10,"CLBLM_L_X46Y103"
"accelerator_core",114,101,6,"CLBLM_L_X46Y102"
"accelerator_core",114,102,1,"CLBLM_L_X46Y101"
"accelerator_core",114,103,1,"CLBLM_L_X46Y100"
"accelerator_core",114,105,1,"CLBLM_L_X46Y99"
"accelerator_core",114,106,1,"CLBLM_L_X46Y98"
"accelerator_core",114,107,9,"CLBLM_L_X46Y97"
"accelerator_core",114,108,4,"CLBLM_L_X46Y96"
"accelerator_core",114,109,5,"CLBLM_L_X46Y95"
"accelerator_core",114,119,5,"CLBLM_L_X46Y85"
"accelerator_core",114,120,5,"CLBLM_L_X46Y84"
"accelerator_core",114,121,5,"CLBLM_L_X46Y83"
"accelerator_core",114,122,6,"CLBLM_L_X46Y82"
"accelerator_core",114,123,12,"CLBLM_L_X46Y81"
"accelerator_core",114,126,6,"CLBLM_L_X46Y78"
"accelerator_core",114,127,10,"CLBLM_L_X46Y77"
"accelerator_core",114,128,11,"CLBLM_L_X46Y76"
"accelerator_core",114,129,9,"CLBLM_L_X46Y75"
"accelerator_core",114,137,8,"CLBLM_L_X46Y68"
"accelerator_core",114,144,4,"CLBLM_L_X46Y61"
"accelerator_core",114,145,4,"CLBLM_L_X46Y60"
"accelerator_core",114,146,3,"CLBLM_L_X46Y59"
"accelerator_core",114,147,6,"CLBLM_L_X46Y58"
"accelerator_core",114,148,2,"CLBLM_L_X46Y57"
"accelerator_core",114,149,5,"CLBLM_L_X46Y56"
"accelerator_core",114,151,2,"CLBLM_L_X46Y54"
"accelerator_core",114,152,2,"CLBLM_L_X46Y53"
"accelerator_core",114,153,2,"CLBLM_L_X46Y52"
