scope,grid_x,grid_y,placed_primitives,representative_tile
"accelerator",107,124,5,"CLBLM_R_X43Y80"
"accelerator",107,125,6,"CLBLM_R_X43Y79"
"accelerator",107,126,6,"CLBLM_R_X43Y78"
"accelerator",107,127,10,"CLBLM_R_X43Y77"
"accelerator",107,128,6,"CLBLM_R_X43Y76"
"accelerator",107,129,6,"CLBLM_R_X43Y75"
"accelerator",107,131,6,"CLBLM_R_X43Y74"
"accelerator",107,132,6,"CLBLM_R_X43Y73"
"accelerator",107,133,8,"CLBLM_R_X43Y72"
"accelerator",107,136,8,"CLBLM_R_X43Y69"
"accelerator",107,137,10,"CLBLM_R_X43Y68"
"accelerator",107,138,2,"CLBLM_R_X43Y67"
"accelerator",107,139,15,"CLBLM_R_X43Y66"
"accelerator",107,140,9,"CLBLM_R_X43Y65"
"accelerator",107,141,8,"CLBLM_R_X43Y64"
"accelerator",107,142,9,"CLBLM_R_X43Y63"
"accelerator",107,147,5,"CLBLM_R_X43Y58"
"accelerator",107,148,2,"CLBLM_R_X43Y57"
"accelerator",107,149,4,"CLBLM_R_X43Y56"
"accelerator",107,152,6,"CLBLM_R_X43Y53"
"accelerator",107,153,6,"CLBLM_R_X43Y52"
"accelerator",107,154,8,"CLBLM_R_X43Y51"
"accelerator",107,155,6,"CLBLM_R_X43Y50"
"accelerator",107,157,4,"CLBLM_R_X43Y49"
"accelerator",107,158,3,"CLBLM_R_X43Y48"
"accelerator",107,159,4,"CLBLM_R_X43Y47"
"accelerator",107,90,2,"CLBLM_R_X43Y113"
"accelerator",107,91,6,"CLBLM_R_X43Y112"
"accelerator",107,92,8,"CLBLM_R_X43Y111"
"accelerator",107,93,10,"CLBLM_R_X43Y110"
"accelerator",107,94,10,"CLBLM_R_X43Y109"
"accelerator",107,95,10,"CLBLM_R_X43Y108"
"accelerator",107,96,10,"CLBLM_R_X43Y107"
"accelerator",107,97,10,"CLBLM_R_X43Y106"
"accelerator",107,98,9,"CLBLM_R_X43Y105"
"accelerator",107,99,10,"CLBLM_R_X43Y104"
"accelerator",112,100,9,"CLBLL_R_X45Y103"
"accelerator",112,101,13,"CLBLL_R_X45Y102"
"accelerator",112,102,12,"CLBLL_R_X45Y101"
"accelerator",112,103,5,"CLBLL_R_X45Y100"
"accelerator",112,113,1,"CLBLL_R_X45Y91"
